name,category,description,is_free,typical_price,dependencies,tags
Name & Logo,Foundation,Business name brainstorming and professional logo design,TRUE,Free,,"branding,identity,design"
Legal Setup,Foundation,Business structure LLC Sole Prop and EIN registration,FALSE,$99-$249,,"legal,compliance,foundation"
Website Starter,Foundation,Professional single-page website with hosting,FALSE,$49-$149,,"web,online presence"
Booking System,Foundation,Online appointment scheduling and calendar,FALSE,$29-$79,,"scheduling,appointments"
Payments Setup,Foundation,Accept credit cards and online payments,FALSE,$0-$49,,"payments,transactions"
Store Setup,Commerce,E-commerce store with product listings,FALSE,$79-$199,,"ecommerce,online store"
Product Listings,Commerce,Professional product descriptions and pricing,FALSE,$29-$99,Store Setup,"products,catalog"
Donation Setup,Nonprofit,Accept one-time and recurring donations,FALSE,$29-$79,Payments Setup,"nonprofit,fundraising"
Email Platform,Email,Professional email marketing platform setup,FALSE,$29-$79,,"email,marketing"
Email Welcome Series,Email,Automated welcome email sequence 5 emails,FALSE,$49-$149,Email Platform,"automation,onboarding"
CRM & Pipeline,Growth,Customer relationship management system,FALSE,$49-$149,,"sales,customers"
Review Manager,Growth,Collect and display customer reviews,FALSE,$29-$79,,"reputation,social proof"
Local SEO Starter,Growth,Google Business Profile optimization,FALSE,$49-$149,,"seo,local,visibility"
Facebook Ads Starter,Growth,First Facebook ad campaign setup,FALSE,$79-$199,,"ads,facebook,marketing"
Instagram Growth,Growth,Instagram profile optimization and strategy,FALSE,$49-$149,,"instagram,social media"
Social Media Kit,Brand,Branded templates for all social platforms,FALSE,$49-$149,Name & Logo,"social media,branding"
Portfolio Site,Web,Showcase your work with gallery and case studies,FALSE,$99-$249,Website Starter,"portfolio,showcase"
Course Platform,Web,Sell and deliver online courses,FALSE,$99-$249,Website Starter,"education,courses"
Event Calendar,Web,Display and manage events on your site,FALSE,$29-$79,Website Starter,"events,calendar"
Recurring Billing,Commerce,Subscription and membership billing,FALSE,$49-$149,Payments Setup,"subscriptions,recurring"
Fleet Tracker,Operations,Track vehicles and optimize routes,FALSE,$49-$149,,"logistics,tracking"
Before/After Gallery,Marketing,Showcase transformation photos,FALSE,$29-$79,,"visual,portfolio"
Quote Calculator,Operations,Automated quote and estimate tool,FALSE,$49-$149,,"pricing,estimates"
Service Menu,Operations,Display services and pricing,TRUE,Free,,"services,pricing"
Emergency Hotline,Operations,24/7 emergency contact system,FALSE,$29-$79,,"support,emergency"
Pet Profile System,Specialized,Manage pet records and preferences,FALSE,$29-$79,,"pets,records"
Class Scheduler,Education,Schedule and manage classes,FALSE,$49-$149,Booking System,"education,scheduling"
Enrollment System,Education,Student registration and onboarding,FALSE,$79-$199,,"education,registration"
Parent Portal,Education,Parent communication and updates,FALSE,$49-$149,,"education,parents"
Medical Compliance,Healthcare,HIPAA and medical regulations compliance,FALSE,$99-$249,Legal Setup,"healthcare,compliance"
Telehealth Setup,Healthcare,Virtual appointment platform,FALSE,$79-$199,Booking System,"telehealth,virtual"
Treatment Packages,Healthcare,Package pricing for treatments,FALSE,$29-$79,Payments Setup,"healthcare,pricing"
Insurance Billing,Healthcare,Medical insurance claim processing,FALSE,$99-$249,,"healthcare,insurance"
Inventory System,Operations,Track stock and manage inventory,FALSE,$49-$149,,"inventory,stock"
Member Portal,Membership,Private member login and content,FALSE,$79-$199,Website Starter,"membership,access"
Discussion Forum,Community,Community discussion board,FALSE,$49-$149,Website Starter,"community,forum"
Certificate Generator,Education,Automated certificate creation,FALSE,$29-$79,Course Platform,"certificates,credentials"
Student Portal,Education,Student dashboard and resources,FALSE,$79-$199,,"education,students"
Resource Library,Content,Organized document and file library,FALSE,$29-$79,Website Starter,"resources,content"
Video Library,Content,Host and organize video content,FALSE,$49-$149,Website Starter,"video,content"
TikTok Ads Management,Marketing,TikTok advertising campaigns,FALSE,$99-$249,,"marketing,ads,tiktok"
Google Ads Starter,Marketing,Google search and local ads,FALSE,$79-$199,,"marketing,ads,google"
YouTube Ads Setup,Marketing,YouTube video advertising,FALSE,$79-$199,,"marketing,ads,youtube"
LinkedIn Ads for B2B,Marketing,B2B LinkedIn campaigns,FALSE,$99-$249,,"marketing,ads,b2b"
Pinterest Ads Setup,Marketing,Pinterest visual ads,FALSE,$79-$149,,"marketing,ads,pinterest"
Snapchat Ads,Marketing,Snapchat advertising,FALSE,$79-$149,,"marketing,ads,snapchat"
Podcast Advertising,Marketing,Podcast sponsorship outreach,FALSE,$49-$149,,"marketing,ads,podcast"
Radio Spot Creation,Marketing,Local radio advertising,FALSE,$99-$249,,"marketing,ads,radio"
Billboard Design,Marketing,Outdoor advertising creative,FALSE,$49-$149,,"marketing,outdoor"
Vehicle Wrap Design,Marketing,Mobile advertising design,FALSE,$99-$249,,"marketing,vehicle"
Guerrilla Marketing Kit,Marketing,Creative low-cost tactics,TRUE,Free,,"marketing,guerrilla"
Viral Content Strategy,Marketing,Trending content playbook,FALSE,$49-$149,,"marketing,viral"
Brand Ambassador Program,Marketing,Ambassador recruitment,FALSE,$79-$199,,"marketing,brand"
Loyalty Program Setup,Marketing,Points and rewards system,FALSE,$49-$149,,"marketing,loyalty"
Customer Retention Strategy,Marketing,Win-back campaigns,FALSE,$49-$149,,"marketing,retention"
Multi-Location Management,Operations,Centralized multi-site control,FALSE,$99-$249,,"operations,multi-location"
Franchise Operations Manual,Operations,Franchise SOPs and training,FALSE,$149-$349,Legal Setup,"operations,franchise"
Quality Assurance System,Operations,Quality control checklists,FALSE,$49-$149,,"operations,quality"
Supplier Management,Operations,Vendor database and orders,FALSE,$49-$149,,"operations,suppliers"
Purchase Order System,Operations,Procurement workflow,TRUE,Free,,"operations,procurement"
Warehouse Management,Operations,Inventory and shipping system,FALSE,$79-$199,Inventory System,"operations,warehouse"
Delivery Route Optimization,Operations,Multi-stop routing,FALSE,$49-$149,,"operations,routing"
Time Tracking System,Operations,Employee hours and payroll,FALSE,$49-$149,,"operations,time"
Project Management Setup,Operations,Tasks timelines and teams,FALSE,$49-$149,,"operations,projects"
Asset Management,Operations,Equipment tracking,FALSE,$49-$149,,"operations,assets"
Compliance Tracker,Legal,Regulations and deadlines,FALSE,$49-$149,Legal Setup,"legal,compliance"
Risk Management Plan,Legal,Risk mitigation strategy,FALSE,$49-$149,,"legal,risk"
Business Continuity Plan,Operations,Disaster recovery plan,FALSE,$49-$149,,"operations,continuity"
Exit Strategy Planning,Finance,Succession and sale prep,FALSE,$99-$249,,"finance,exit"
Franchise Development Kit,Growth,Expansion playbook,FALSE,$149-$349,,"growth,franchise"
Fractional CFO Matching,Finance,Financial strategy partner,FALSE,$199-$499,,"finance,cfo"
Financial Dashboard,Finance,Live metrics and KPIs,FALSE,$49-$149,,"finance,analytics"
Cash Flow Forecasting,Finance,13-week cash flow,FALSE,$49-$149,,"finance,forecasting"
Break-Even Analysis,Finance,Unit economics calculator,TRUE,Free,,"finance,analysis"
Revenue Model Calculator,Finance,Scenario projections,TRUE,Free,,"finance,revenue"
Investor Pitch Deck,Finance,Fundraising deck design,FALSE,$99-$249,,"finance,fundraising"
Crowdfunding Campaign,Finance,Kickstarter Indiegogo setup,FALSE,$79-$199,,"finance,crowdfunding"
Angel Investor Network,Finance,Investor intro scripts,FALSE,$49-$149,,"finance,investors"
VC Pitch Prep,Finance,Venture capital materials,FALSE,$99-$249,,"finance,vc"
Merchant Cash Advance,Finance,Alternative funding guide,FALSE,$49-$149,,"finance,funding"
Mobile App Development,Technology,iOS Android app build,FALSE,$999-$4999,,"technology,app"
Custom Dashboard,Technology,Admin panel and analytics,FALSE,$299-$999,,"technology,dashboard"
API Integration,Technology,System integration,FALSE,$149-$499,,"technology,api"
Database Design,Technology,Data structure design,FALSE,$99-$299,,"technology,database"
Cloud Infrastructure,Technology,AWS Azure setup,FALSE,$149-$399,,"technology,cloud"
Backup & Recovery,Technology,Data protection system,FALSE,$49-$149,,"technology,backup"
Security Audit,Technology,Penetration testing,FALSE,$199-$499,,"technology,security"
GDPR Compliance,Legal,Privacy setup,FALSE,$99-$249,Legal Setup,"legal,privacy"
Accessibility WCAG,Technology,ADA compliance,FALSE,$149-$399,,"technology,accessibility"
Multi-Language Site,Technology,Translation and localization,FALSE,$149-$399,Website Starter,"technology,international"
Video Production,Content,Professional video shoots,FALSE,$299-$999,,"content,video"
Animation Services,Content,Explainer videos,FALSE,$199-$599,,"content,animation"
3D Rendering,Content,Product visualization,FALSE,$149-$499,,"content,3d"
Stock Photo Library,Content,Custom brand photos,FALSE,$99-$249,,"content,photography"
Icon Set Design,Content,Custom iconography,FALSE,$49-$149,,"content,design"
Infographic Design,Content,Data visualization,FALSE,$49-$149,,"content,infographic"
Presentation Design,Content,Professional slide decks,FALSE,$49-$149,,"content,presentation"
Ebook Design,Content,Layout and formatting,FALSE,$79-$199,,"content,ebook"
Whitepaper Writing,Content,Authority content,FALSE,$149-$399,,"content,writing"
Case Study Creation,Content,Customer success stories,FALSE,$79-$199,,"content,case study"
Testimonial Collection,Marketing,Automated review requests,TRUE,Free,,"marketing,testimonials"
Brand Story Development,Brand,Narrative and messaging,FALSE,$99-$249,Name & Logo,"branding,story"
Tagline & Slogan,Brand,Memorable phrases,FALSE,$49-$149,Name & Logo,"branding,tagline"
Voice & Tone Guide,Brand,Communication standards,FALSE,$49-$149,Name & Logo,"branding,voice"
Product Photography,Commerce,Lifestyle and white background,FALSE,$99-$299,,"commerce,photography"
Product Videos,Commerce,Demo videos,FALSE,$149-$399,,"commerce,video"
Amazon FBA Setup,Commerce,Fulfillment by Amazon,FALSE,$79-$199,Store Setup,"commerce,amazon"
Amazon Listing Optimization,Commerce,SEO images A+ content,FALSE,$79-$199,Store Setup,"commerce,amazon"
Walmart Marketplace,Commerce,Walmart setup and optimization,FALSE,$79-$199,Store Setup,"commerce,walmart"
Etsy Shop Optimization,Commerce,SEO photos and policies,FALSE,$49-$149,Store Setup,"commerce,etsy"
eBay Store Setup,Commerce,Listings and automation,FALSE,$49-$149,Store Setup,"commerce,ebay"
International Shipping,Operations,Customs and carriers,FALSE,$49-$149,,"operations,shipping"
Product Bundling Strategy,Commerce,Increase average order value,FALSE,$49-$149,,"commerce,bundling"
Upsell & Cross-sell Flows,Commerce,Increase revenue flows,FALSE,$49-$149,,"commerce,upsell"
Growth Hacking Playbook,Growth,Rapid experimentation,FALSE,$79-$199,,"growth,hacking"
Conversion Rate Optimization,Growth,A/B testing and heatmaps,FALSE,$79-$199,,"growth,conversion"
Customer Journey Mapping,Growth,Touchpoint analysis,FALSE,$49-$149,,"growth,journey"
Competitive Analysis,Growth,Market positioning,FALSE,$49-$149,,"growth,competitive"
Market Research,Growth,Customer surveys and insights,FALSE,$79-$199,,"growth,research"
Partnership Development,Growth,Strategic alliances,FALSE,$49-$149,,"growth,partnerships"
Licensing Strategy,Growth,IP monetization,FALSE,$99-$249,,"growth,licensing"
White Label Program,Growth,Reseller setup,FALSE,$79-$199,,"growth,white-label"
Certification Program,Growth,Training and badges,FALSE,$99-$249,,"growth,certification"
Mastermind Community,Growth,Peer group setup,FALSE,$79-$199,,"growth,community"
Local Ads Starter,Marketing,Local advertising campaigns,FALSE,$79-$199,,"marketing,local,ads"
Seasonal Campaigns,Marketing,Seasonal marketing campaigns,FALSE,$49-$149,,"marketing,seasonal"
Affiliate Program,Marketing,Affiliate marketing setup,FALSE,$79-$199,,"marketing,affiliate"
Influencer Kit,Marketing,Influencer collaboration materials,FALSE,$49-$149,Social Media Kit,"marketing,influencer"
Storm Response,Operations,Emergency response system,FALSE,$29-$79,,"operations,emergency"
Material Calculator,Utility,Material quantity calculator,TRUE,Free,,"utility,calculator"
Route Optimizer,Operations,Optimize service routes,FALSE,$49-$149,,"operations,routing"
Waiver System,Legal,Digital waiver collection,FALSE,$29-$79,,"legal,waivers"
Access Control,Operations,Member access management,FALSE,$49-$149,Member Portal,"operations,security"
Recipe Library,Content,Organize and display recipes,FALSE,$29-$79,Website Starter,"recipes,food"
Workout Library,Fitness,Exercise videos and programs,FALSE,$49-$149,,"fitness,exercise"
Progress Tracker,Tracking,Track client progress and metrics,FALSE,$29-$79,,"tracking,metrics"
Meal Planner,Health,Custom meal planning tool,FALSE,$49-$149,,"nutrition,meals"
Nutrition Calculator,Health,Calculate macros and calories,TRUE,Free,,"nutrition,calculator"
Budget Calculator,Finance,Personal budget planning tool,TRUE,Free,,"finance,budgeting"
Debt Payoff Planner,Finance,Debt elimination strategy tool,FALSE,$29-$79,,"finance,debt"
Assessment Tools,Professional,Client assessment and surveys,FALSE,$29-$79,,"assessment,surveys"
360 Assessment,Professional,Multi-rater feedback system,FALSE,$79-$199,,"feedback,assessment"
Group Coaching Setup,Coaching,Manage group coaching programs,FALSE,$49-$149,Booking System,"coaching,groups"
Audit Template,Consulting,Professional audit frameworks,FALSE,$49-$149,,"consulting,audits"
Case Studies,Marketing,Customer success story templates,FALSE,$29-$79,,"marketing,stories"
Reporting Dashboard,Analytics,Custom analytics and reports,FALSE,$79-$199,,"analytics,reporting"
Policy Templates,HR,Employee handbook and policies,FALSE,$49-$149,,"hr,policies"
Compliance Checklist,Legal,Industry compliance tracking,FALSE,$29-$79,Legal Setup,"compliance,legal"
Proposal Templates,Sales,Professional proposal documents,FALSE,$29-$79,,"sales,proposals"
Tech Stack Audit,Technology,Technology assessment service,FALSE,$99-$249,,"technology,audit"
SOP Templates,Operations,Standard operating procedures,FALSE,$49-$149,,"operations,procedures"
Efficiency Audit,Operations,Process improvement analysis,FALSE,$99-$249,,"operations,efficiency"
Deal Calculator,Finance,Investment analysis calculator,FALSE,$29-$79,,"finance,calculator"
Market Reports,Research,Industry and market data,FALSE,$49-$149,,"research,data"
Carbon Calculator,Sustainability,Environmental impact calculator,TRUE,Free,,"sustainability,environment"
Certification Guide,Education,Industry certification roadmap,FALSE,$29-$79,,"education,certification"
Document Checklist,Operations,Required document tracking,TRUE,Free,,"documents,organization"
Case Tracker,Operations,Case and project management,FALSE,$49-$149,,"projects,tracking"
Grant Finder,Nonprofit,Grant opportunity database,FALSE,$49-$149,,"nonprofit,grants"
Volunteer Management,Nonprofit,Volunteer scheduling and tracking,FALSE,$49-$149,,"nonprofit,volunteers"
Impact Reports,Nonprofit,Outcome measurement reporting,FALSE,$49-$149,,"nonprofit,reporting"
Adoption Application,Nonprofit,Pet adoption form system,FALSE,$29-$79,,"nonprofit,pets"
Foster Network,Nonprofit,Foster coordination system,FALSE,$29-$79,,"nonprofit,network"
Intake Forms,Nonprofit,Client intake and assessment,FALSE,$29-$79,,"forms,intake"
Petition System,Advocacy,Online petition and signature collection,FALSE,$29-$79,,"advocacy,petitions"
Action Alerts,Advocacy,Automated advocacy campaigns,FALSE,$49-$149,Email Platform,"advocacy,campaigns"
Artist Directory,Arts,Showcase artist profiles,FALSE,$29-$79,Website Starter,"arts,directory"
Gallery Portal,Arts,Online art gallery system,FALSE,$49-$149,Website Starter,"arts,gallery"
Content Calendar,Marketing,Plan and schedule content,FALSE,$29-$79,,"marketing,planning"
Design Packages,Design,Tiered service packages,FALSE,$29-$79,,"design,packages"
Sample Library,Portfolio,Work samples and examples,FALSE,$29-$79,,"portfolio,samples"
Turnaround Calculator,Operations,Delivery time estimator,TRUE,Free,,"operations,estimates"
Time Tracking,Operations,Track billable hours,FALSE,$29-$79,,"operations,time"
Template Library,Resources,Reusable document templates,FALSE,$29-$79,,"resources,templates"
LinkedIn Service,Career,LinkedIn profile enhancement,FALSE,$49-$149,,"career,linkedin"
Bulk Pricing,Commerce,Volume discount calculator,FALSE,$29-$79,,"pricing,discounts"
Platform Integration,Technology,Connect to third-party platforms,FALSE,$79-$199,,"technology,integration"
Valuation Tool,Finance,Asset valuation calculator,FALSE,$49-$149,,"finance,valuation"
Marketplace Integration,Commerce,Multi-channel selling setup,FALSE,$79-$199,Store Setup,"ecommerce,marketplace"
Sales Tracker,Analytics,Track sales and revenue,FALSE,$29-$79,,"analytics,sales"
Rate Card,Pricing,Service pricing sheet,TRUE,Free,,"pricing,services"
Questionnaire Template,Research,Custom survey templates,FALSE,$29-$79,,"research,surveys"
Review Examples,Portfolio,Sample work and testimonials,TRUE,Free,,"portfolio,reviews"
Etsy Optimization,Commerce,Optimize Etsy shop listings,FALSE,$49-$149,Store Setup,"ecommerce,etsy"
Shipping Guide,Operations,Shipping strategy and setup,FALSE,$29-$79,,"operations,shipping"
Listing Templates,Commerce,Product listing templates,FALSE,$29-$79,Store Setup,"ecommerce,listings"
Shipping Calculator,Operations,Shipping cost calculator,FALSE,$29-$79,,"operations,shipping"
FBA Integration,Commerce,Amazon FBA setup,FALSE,$79-$199,Store Setup,"ecommerce,amazon"