id,category,name,description,starter_blocks,growth_blocks
372,Side Hustle,Etsy Shop,Sell handmade on Etsy,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Etsy Optimization,Product Photography,Shipping Guide"
373,Side Hustle,eBay Reseller,Flip items on eBay,"Name & Logo,Store Setup,Payments Setup,Inventory System","Email Welcome Series,Listing Templates,Pricing Strategy,Shipping Calculator"
374,Side Hustle,Amazon Seller,Sell products on Amazon,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Listing Optimization,Review Manager,FBA Integration"
375,Side Hustle,Mystery Shopper,Evaluate businesses anonymously,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Evaluation Templates,Client Portal,Report Builder"
376,Seasonal,Tax Prep Seasonal,January-April tax filing,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Document Checklist,CRM & Pipeline,E-file System"
377,Seasonal,Pool Opening Closing,Seasonal pool service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Checklist,Recurring Reminders,Chemical Guide"
378,Seasonal,Pumpkin Patch,Fall pumpkin sales and activities,"Name & Logo,Website Starter,Store Setup,Payments Setup","Email Welcome Series,Activity Calendar,Group Bookings,Photo Spots"
379,Seasonal,Christmas Tree Farm,Seasonal tree sales,"Name & Logo,Website Starter,Store Setup,Payments Setup","Email Welcome Series,Variety Guide,Delivery Options,Care Instructions"
380,Seasonal,Fireworks Stand,4th of July fireworks sales,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Safety Guide,Compliance Checklist,Bulk Discounts"
381,Automotive,Auto Detailing Supplies,Sell detailing products,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,How-to Videos,Wholesale Portal,Bundle Packages"
382,Automotive,Car Audio Installation,Install stereo systems,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Product Catalog,Review Manager,Warranty Info"
383,Automotive,Custom Car Mods,Performance modifications,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Parts Catalog,Quote Request,Before/After Gallery"
384,Automotive,Classic Car Restoration,Restore vintage vehicles,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Project Gallery,Quote Request,Parts Sourcing"
385,Automotive,Auto Upholstery,Interior restoration,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Material Samples,Quote Request,Before/After Gallery"
386,Pet Services,Aquarium Maintenance,Clean and maintain tanks,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Recurring Billing,Fish Health Guide"
387,Pet Services,Reptile Care Service,Care for reptiles and exotics,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Care Guides,Boarding Options,Species Expertise"
388,Pet Services,Horse Boarding,Stable and pasture boarding,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Facility Tour,Boarding Options,Activity Calendar"
389,Pet Services,Dog Daycare,Daytime dog supervision,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Webcam Access,Activity Reports,Membership Plans"
390,Pet Services,Pet Taxi Service,Transport pets safely,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Safety Features,Appointment Types"
391,Spiritual,Tarot Reader,Tarot card readings,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Reading Types,Review Manager,Video Sessions"
392,Spiritual,Life Path Numerology,Numerology consultations,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Report Samples,Calculator Tool,Packages"
393,Spiritual,Astrology Readings,Birth chart interpretations,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Reading Types,Sample Reports,Compatibility Charts"
394,Spiritual,Energy Healing,Reiki and energy work,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Session Types,Review Manager,Distance Healing"
395,Spiritual,Meditation Teacher,Teach meditation techniques,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Types,Video Library,Group Sessions"
396,Legal,Trademark Filing,Register trademarks,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Search Service,Filing Guide,Portfolio Protection"
397,Legal,LLC Formation Service,Form business entities,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,State Comparison,Package Options,Registered Agent"
398,Legal,Contract Review,Review legal agreements,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Document Types,Turnaround Time,Confidentiality"
399,Legal,Compliance Consulting,Regulatory compliance help,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Industry Focus,Audit Service,Ongoing Support"
400,Legal,Paralegal Service,Legal research and documents,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Menu,Hourly Rates,Document Templates"
401,Events,DJ Service,Music for all events,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Music Library,Review Manager,Equipment List"
402,Events,Lighting Rental,Event lighting equipment,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Equipment Catalog,Design Service,Setup Included"
403,Events,AV Equipment Rental,Audio visual rentals,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Equipment List,Tech Support,Delivery Setup"
404,Events,Event Security,Professional security staff,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Officer Profiles,Licensing Info,Event Types"
405,Events,Valet Parking,Professional valet service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Staff Training,Insurance Info,Event Capacity"
406,Logistics,Courier Service,Same-day delivery,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Tracking System,Volume Discounts"
407,Logistics,Freight Brokerage,Coordinate shipments,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Carrier Network,Quote System,Tracking Portal"
408,Logistics,Warehousing Service,Storage and fulfillment,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Facility Tour,Pricing Calculator,Integration Options"
409,Logistics,Last Mile Delivery,Final delivery service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Real-time Tracking,Volume Pricing"
410,Logistics,Moving Supplies,Sell boxes and packing materials,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Product Catalog,Bundle Deals,Delivery Options"
411,Retail,Comic Book Store,Comics and collectibles,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Subscription Box,Event Calendar,Trade-in Program"
412,Retail,Vinyl Record Shop,New and used records,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Want List,Event Calendar,Trade-in Program"
413,Retail,Vintage Clothing,Curated vintage fashion,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Era Guide,Size Charts,Consignment Program"
414,Retail,Sneaker Resale,Limited edition sneakers,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Authentication Service,Release Calendar,Trade-in"
415,Retail,Board Game Café,Games and food,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Game Library,Event Calendar,Membership Plans"
416,Retail,Smoke Shop,Tobacco and accessories,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Age Verification,Product Catalog,Loyalty Program"
417,Retail,Craft Beer Shop,Specialty beer retail,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Tasting Events,Beer Club,Product Guide"
418,Retail,Cigar Lounge,Premium cigars and lounge,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Membership Plans,Event Calendar,Humidor Service"
419,Retail,Metaphysical Shop,Crystals and spiritual items,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Crystal Guide,Event Calendar,Energy Cleansing"
420,Retail,Aquarium Store,Fish and aquarium supplies,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Fish Care Guide,Maintenance Service,Custom Tanks"
421,B2B,Commercial Cleaning,Office and facility cleaning,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Checklist,Recurring Billing,Quality Assurance"
422,B2B,Janitorial Supplies,Sell cleaning supplies to business,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Wholesale Portal,Auto Delivery,Volume Discounts"
423,B2B,Office Coffee Service,Workplace coffee solutions,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Equipment Options,Recurring Billing,Product Catalog"
424,B2B,Uniform Service,Rent and launder uniforms,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Style Catalog,Size Exchange,Recurring Billing"
425,B2B,Payroll Processing,Payroll service for businesses,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Pricing Calculator,Compliance Guide,Integration Options"
426,B2B,Benefits Administration,Employee benefits management,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Plan Options,Enrollment Portal,Compliance Support"
427,B2B,Corporate Catering,Business meal delivery,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Menu Options,Recurring Orders,Dietary Accommodations"
428,B2B,Office Plants Service,Maintain office plants,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Plant Selection,Recurring Service,Seasonal Rotation"
429,B2B,Document Shredding,Secure document destruction,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Options,Certificate of Destruction,Recurring Pickup"
430,B2B,Commercial Pest Control,Business pest management,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Plans,Compliance Reports,Recurring Billing"
431,Home Improvement,Kitchen Remodeling,Kitchen renovation service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Quote Calculator,Before/After Gallery,Material Options"
432,Home Improvement,Bathroom Remodeling,Bathroom renovation,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Quote Calculator,Before/After Gallery,Fixture Catalog"
433,Home Improvement,Basement Finishing,Finish unfinished basements,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Quote Calculator,Before/After Gallery,Design Options"
434,Home Improvement,Closet Organization,Install closet systems,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Quote Calculator,Product Catalog,Design Service"
435,Home Improvement,Cabinet Refacing,Refresh kitchen cabinets,"Name & Logo,Legal Setup,Booking System,Payments Setup","Before/After Gallery,Quote Calculator,Color Options,Turnaround Time"
436,Home Improvement,Countertop Installation,Install granite quartz counters,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Material Catalog,Quote Calculator,Measurement Service"
437,Home Improvement,Tile Installation,Ceramic and stone tile,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Pattern Gallery,Quote Calculator,Material Options"
438,Home Improvement,Epoxy Flooring,Garage floor coating,"Name & Logo,Legal Setup,Booking System,Payments Setup","Before/After Gallery,Color Options,Quote Calculator,Warranty Info"
439,Home Improvement,Window Replacement,Install new windows,"Name & Logo,Legal Setup,Booking System,Payments Setup","Product Catalog,Quote Calculator,Energy Savings,Warranty Info"
440,Home Improvement,Sunroom Addition,Build sunrooms and enclosures,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Style Options,Quote Calculator,Financing Available"
441,Health,Allergy Testing,Identify allergens,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Test Types,Results Portal,Treatment Options"
442,Health,Sleep Clinic,Sleep disorder diagnosis,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Study Process,Insurance Billing,Equipment Rental"
443,Health,Pain Management,Chronic pain treatment,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Treatment Options,Insurance Billing,Telehealth"
444,Health,IV Hydration Lounge,Wellness IV therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Treatment Menu,Package Options,Mobile Service"
445,Health,Cryotherapy,Cold therapy wellness,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Benefits Guide,Package Options,Safety Info"
446,Health,Compression Therapy,Recovery compression boots,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Session Options,Membership Plans,Sports Recovery"
447,Health,Red Light Therapy,Light therapy wellness,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Benefits Guide,Session Options,Package Deals"
448,Health,Infrared Sauna,Sauna wellness center,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Benefits Guide,Membership Plans,Private Rooms"
449,Health,Oxygen Bar,Recreational oxygen therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Flavor Options,Benefits Guide,Event Packages"
450,Health,Vitamin Shots,Injectable vitamins,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Shot Menu,Package Options,Mobile Service"
451,Mobile,Mobile Notary,Travel to clients,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,After Hours,Document Types"
452,Mobile,Mobile Barber,Haircuts at client location,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Service Area,Group Discounts"
453,Mobile,Mobile Vet,Veterinary house calls,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,After Hours,Species Treated"
454,Mobile,Mobile Dentist,Dental care at home,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Equipment Info,Insurance Billing"
455,Mobile,Mobile Pharmacy,Prescription delivery,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Insurance Info,Auto Refill"
456,Mobile,Mobile Car Wash,Wash cars at location,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Packages,Service Area,Water Reclaim"
457,Mobile,Mobile Bike Repair,Fix bikes on-site,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Service Area,Fleet Service"
458,Mobile,Mobile Locksmith,Emergency lockout service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,24/7 Availability,Service Area,Pricing"
459,Mobile,Mobile Windshield Replace,Replace windshields on-site,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Insurance Claims,Service Area,Same Day Service"
460,Mobile,Mobile Pet Grooming,Groom pets at home,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Menu,Service Area,Special Needs Pets"
461,Subscription,Flower Subscription,Weekly flower delivery,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Subscription Tiers,Delivery Calendar,Gift Options"
462,Subscription,Wine Club,Monthly wine delivery,"Name & Logo,Legal Setup,Store Setup,Recurring Billing","Email Welcome Series,Tier Options,Tasting Notes,Member Events"
463,Subscription,Book Club Box,Monthly book subscription,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Genre Options,Discussion Guide,Member Forum"
464,Subscription,Craft Kit Subscription,Monthly DIY projects,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Skill Levels,Video Tutorials,Supply Extras"
465,Subscription,Snack Box Subscription,Curated snacks monthly,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Dietary Options,International Themes,Gift Subscriptions"
466,Subscription,Tea Subscription,Artisan tea delivery,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Tea Education,Brewing Guide,Member Discounts"
467,Subscription,Sock Subscription,Fun socks monthly,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Style Quiz,Size Options,Gift Subscriptions"
468,Subscription,Razor Subscription,Shaving supplies delivery,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Product Options,Frequency Control,Grooming Tips"
469,Subscription,Supplement Subscription,Custom vitamin packs,"Name & Logo,Legal Setup,Store Setup,Recurring Billing","Email Welcome Series,Health Quiz,Custom Formulas,Nutrition Guide"
470,Subscription,Pet Toy Subscription,Monthly pet toys and treats,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Pet Size Options,Treat Preferences,Photo Sharing"
471,Youth,Youth Sports League,Organize kids sports,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Registration System,Schedule Builder,Parent Portal"
472,Youth,Cheerleading Program,Cheer instruction and teams,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Team Levels,Competition Schedule,Uniform Shop"
473,Youth,Scouting Troop,Boy Scouts or Girl Scouts,"Name & Logo,Website Starter,Donation Setup,Event Calendar","Email Welcome Series,Advancement Tracker,Parent Portal,Fundraising Tools"
474,Youth,Summer Camp,Day or overnight camp,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Activity Calendar,Registration Forms,Photo Sharing"
475,Youth,Gaming Tournament,Esports for youth,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Game Selection,Registration System,Streaming Setup"
476,Adult Education,GED Prep Classes,High school equivalency,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Study Materials,Practice Tests,Tutoring Support"
477,Adult Education,ESL Classes,ESL instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Level Assessment,Class Schedule,Conversation Practice"
478,Adult Education,Computer Literacy,Basic computer skills,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Outline,Lab Access,One-on-One Help"
479,Adult Education,Financial Literacy,Money management education,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Workshop Topics,Tools Access,Coaching Add-on"
480,Adult Education,Cooking Classes,Culinary instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Calendar,Recipe Access,Dietary Options"
481,Entertainment,Escape Room,Puzzle room challenges,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Room Themes,Group Packages,Gift Certificates"
482,Entertainment,Axe Throwing,Recreational axe throwing,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Safety Training,Group Events,Leagues"
483,Entertainment,Paint and Sip,Art class with wine,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Painting Calendar,Private Events,Take Home Art"
484,Entertainment,Pottery Studio,Ceramics classes and studio,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Class Types,Studio Membership,Firing Service"
485,Entertainment,Cooking Studio,Commercial kitchen rental,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Kitchen Features,Hourly Rates,Event Hosting"
486,Entertainment,Rage Room,Smash therapy room,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Package Options,Safety Gear,Group Bookings"
487,Entertainment,VR Arcade,VR gaming center,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Game Library,Party Packages,Membership Plans"
488,Entertainment,Trampoline Park,Indoor trampoline facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Waiver System,Party Packages,Membership Plans"
489,Entertainment,Go Kart Track,Racing entertainment,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Track Info,Racing Leagues,Group Events"
490,Entertainment,Mini Golf Course,Miniature golf entertainment,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Course Map,Group Rates,Birthday Packages"
491,Delivery,Grocery Delivery,Shop and deliver groceries,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Delivery Windows,Membership Options"
492,Delivery,Prescription Delivery,Medication delivery service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Insurance Info,Auto Refill,Service Area"
493,Delivery,Meal Kit Delivery,Pre-portioned meal delivery,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Menu Options,Dietary Filters,Delivery Schedule"
494,Delivery,Laundry Pickup,Wash and fold service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Pricing,Special Care Items"
495,Delivery,Dry Cleaning Delivery,Pickup and delivery dry cleaning,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Area,Pricing,Special Garments"
496,Delivery,Alcohol Delivery,Beer wine spirits delivery,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Age Verification,Product Catalog,Delivery Times"
497,Delivery,Flower Delivery,Same-day flower delivery,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Occasion Guide,Delivery Windows,Care Instructions"
498,Delivery,Bakery Delivery,Fresh baked goods delivery,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Email Welcome Series,Menu Options,Pre-orders,Corporate Gifts"
499,Delivery,Diaper Service,Cloth diaper delivery and cleaning,"Name & Logo,Legal Setup,Booking System,Payments Setup","Email Welcome Series,Service Plans,Eco Benefits,Delivery Schedule"
500,Delivery,Office Supplies Delivery,Business supply delivery,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Account Setup,Auto Reorder,Volume Pricing"